Offre N°	offer
facture N°	invoice number
Location	rental
Vente	sales
Hivernage	hibernation (winterstocking)
Offre de prix	offer/proposal
Offre de location	rental proposal
Offre de vente	sales proposal
Offre de prix de location	Rental – proposal
Offre de prix de vente	Sales – proposal
Lieu	Place

Proposition de location de tente(s)	Rental – proposal
Proposition de vente de tente(s) sur mesure	Sales – proposal
Matériel par tente comprenant:	
Matériel	material
Conditions générales applicables pour la vente et la location de nos produits en annexe de cette offre.	General conditions appropiate the sales or rental of our products as mentioned in the annex of this offer
TVA	VAT
TTC	Vat incl.
TVA 21%	VAT 21 %
Total HTVA	Total VAT excl
TOTAL TVAC	TOTAL VAT inc
Intra-communautaire	
Compte bancaire	Bank account
Coodonnées bancaires	bank data (information)
Adresse SWIFT	
IBAN	IBAN
Tel	Tel
Fax	Fax
Budget(s) location	rental – budget
Budget(s) vente	Sales – budget
Budget(s) location de tente(s)	rental – budget
Budget(s) vente  de tente(s)	Sales – budget
Description	Description
Montant htva	amount VAT excl
Total HTVA	total amount VAT excl
TOTAL TTC a payer	amount to pay VAT incl
Options	options
	
Conditions (de vente)	sales conditions
La réservation sera prise en compte à la reception de votre accompte	the option will be confirmed as soon we received your payment
Nos prix s'entendent hors TVA	our prices are VAT exclusive
Validité de cette offre: 30 jours date de l'offre	validity of this offer: 30 days
Sincères salutations	Sincerely Yours
page (numérotion)	page
prix total	total amount 
Total TVAC	
Conditions de paiement	conditions of payment
comptant (pour un paiemet comptant)	cash
Voir nos conditions de vente au verso	see rear side for sales conditions
Concerne:	concerning
Hivernage de vos tentes Organic	
Location de tente(s) Organic	
Vente de tente(s) Organic	

Belgique	Belgium
Bruxelles	Brussels
Du	From
au	to
sur devis	on request
